quadkey,fire,dist_to_fire_km,valid_overlap,center_lon,center_lat,pre_date,post_date,pre_acq,post_acq,pre_off_nadir,post_off_nadir,off_nadir_diff,pre_gsd,post_gsd,epsg,pre_visual,post_visual,pre_ms,post_ms,n_pre_candidates,n_post_candidates
031311103033,Eaton,2.88,1.0,-118.11212,34.16877,2025-01-01,2025-01-10,10400100A17E8600,1050010040277300,23.8,7.5,16.3,0.36,0.42,32611,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311103033/2025-01-01/10400100A17E8600-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311103033/2025-01-10/1050010040277300-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311103033/2025-01-01/10400100A17E8600-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311103033/2025-01-10/1050010040277300-ms.tif,2,5
031311102212,Palisades,5.15,1.0,-118.59871,34.08289,2024-12-21,2025-01-13,10400100A17B5900,103001010B9A1B00,20.1,39.3,19.199999999999996,0.35,0.76,32611,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102212/2024-12-21/10400100A17B5900-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102212/2025-01-13/103001010B9A1B00-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102212/2024-12-21/10400100A17B5900-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102212/2025-01-13/103001010B9A1B00-ms.tif,1,9
031311103122,Eaton,6.77,0.906,-118.06128,34.16832,2024-12-26,2025-01-14,10400100A1028F00,103001010C360000,25.3,20.2,5.100000000000001,0.37,0.52,32611,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311103122/2024-12-26/10400100A1028F00-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311103122/2025-01-14/103001010C360000-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311103122/2024-12-26/10400100A1028F00-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311103122/2025-01-14/103001010C360000-ms.tif,3,5
031311102210,Palisades,8.17,1.0,-118.59956,34.12796,2024-12-21,2025-01-09,10400100A17B5900,10400100A069A700,20.0,26.8,6.800000000000001,0.35,0.38,32611,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102210/2024-12-21/10400100A17B5900-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102210/2025-01-09/10400100A069A700-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102210/2024-12-21/10400100A17B5900-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102210/2025-01-09/10400100A069A700-ms.tif,1,11
031311102201,Palisades,10.51,,-118.6356,34.12749,2024-12-21,2025-01-09,10400100A17B5900,10400100A069A700,19.7,26.5,6.800000000000001,0.35,0.38,32611,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102201/2024-12-21/10400100A17B5900-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102201/2025-01-09/10400100A069A700-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102201/2024-12-21/10400100A17B5900-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102201/2025-01-09/10400100A069A700-ms.tif,1,9
031311102033,Palisades,11.59,,-118.55863,34.17358,2024-12-21,2025-01-09,10400100A17B5900,10400100A069A700,20.2,27.1,6.900000000000002,0.35,0.38,32611,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102033/2024-12-21/10400100A17B5900-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102033/2025-01-09/10400100A069A700-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102033/2024-12-21/10400100A17B5900-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102033/2025-01-09/10400100A069A700-ms.tif,1,8
031311102032,Palisades,12.54,,-118.60041,34.17304,2024-12-21,2025-01-09,10400100A17B5900,10400100A069A700,19.9,26.7,6.800000000000001,0.35,0.38,32611,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102032/2024-12-21/10400100A17B5900-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102032/2025-01-09/10400100A069A700-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102032/2024-12-21/10400100A17B5900-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102032/2025-01-09/10400100A069A700-ms.tif,1,8
031311102023,Palisades,14.18,,-118.63651,34.17256,2024-12-21,2025-01-09,10400100A17B5900,10400100A069A700,19.6,26.4,6.799999999999997,0.35,0.38,32611,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102023/2024-12-21/10400100A17B5900-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102023/2025-01-09/10400100A069A700-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102023/2024-12-21/10400100A17B5900-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102023/2025-01-09/10400100A069A700-ms.tif,1,5
031311102031,Palisades,16.55,,-118.54703,34.21881,2024-12-21,2025-01-09,10400100A17B5900,10400100A069A700,20.1,27.0,6.899999999999999,0.35,0.38,32611,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102031/2024-12-21/10400100A17B5900-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102031/2025-01-09/10400100A069A700-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102031/2024-12-21/10400100A17B5900-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102031/2025-01-09/10400100A069A700-ms.tif,2,5
031311102030,Palisades,17.26,,-118.60126,34.21811,2024-12-21,2025-01-09,10400100A17B5900,10400100A069A700,19.8,26.6,6.800000000000001,0.35,0.38,32611,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102030/2024-12-21/10400100A17B5900-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102030/2025-01-09/10400100A069A700-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102030/2024-12-21/10400100A17B5900-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102030/2025-01-09/10400100A069A700-ms.tif,2,5
