quadkey,fire,pre_source,method,match_size,gsd_m,off_nadir_diff,pre_date,post_date,time_s,kpts_pre,kpts_post,n_matches,n_inliers,inlier_ratio,success,rmse_px,rmse_m,raw_offset_median_px,raw_offset_median_m,raw_offset_p90_px,raw_dx_px,raw_dy_px,empty_cells_8x8,min_cell_inliers,warped_with
031311102210,Palisades,maxar,sift,1024,2.594,6.800000000000001,2024-12-21,2025-01-09,0.52,8000,8001,4434,4380,0.988,True,0.54,1.4,0.8,2.08,1.29,0.72,0.11,11,0,lightglue
031311102210,Palisades,maxar,lightglue,1024,2.594,6.800000000000001,2024-12-21,2025-01-09,4.52,4096,4096,2874,2808,0.977,True,1.204,3.12,0.0,0.0,2.0,0.0,0.0,12,0,lightglue
031311102212,Palisades,maxar,sift,1024,2.594,19.2,2024-12-21,2025-01-13,0.52,8000,8002,1411,1159,0.821,True,1.228,3.19,3.73,9.67,5.25,-3.68,0.08,3,0,lightglue
031311102212,Palisades,maxar,lightglue,1024,2.594,19.2,2024-12-21,2025-01-13,5.32,4096,4096,2531,1703,0.673,True,1.518,3.94,4.0,10.38,6.0,-4.0,0.0,8,0,lightglue
031311103033,Eaton,maxar,sift,1024,2.594,16.3,2025-01-01,2025-01-10,0.51,8001,8000,1725,1644,0.953,True,0.879,2.28,1.97,5.1,3.02,-0.3,-1.88,2,0,lightglue
031311103033,Eaton,maxar,lightglue,1024,2.594,16.3,2025-01-01,2025-01-10,4.03,4096,4096,2397,2077,0.866,True,1.166,3.02,2.0,5.19,2.83,0.0,-2.0,10,0,lightglue
031311103122,Eaton,maxar,sift,1024,2.594,5.100000000000001,2024-12-26,2025-01-14,0.5,8000,8000,2939,2844,0.968,True,0.656,1.7,1.08,2.8,1.7,0.29,-0.97,2,0,lightglue
031311103122,Eaton,maxar,lightglue,1024,2.594,5.100000000000001,2024-12-26,2025-01-14,4.07,4096,4096,2908,2722,0.936,True,1.35,3.5,2.0,5.19,2.0,0.0,0.0,7,0,lightglue
031311102210,Palisades,naip,sift,1024,2.594,6.800000000000001,2024-12-21,2025-01-09,0.5,8000,8001,211,124,0.588,True,1.267,3.29,1.54,3.99,2.68,1.13,0.62,26,0,lightglue
031311102210,Palisades,naip,lightglue,1024,2.594,6.800000000000001,2024-12-21,2025-01-09,6.9,4096,4096,2177,1110,0.51,True,1.549,4.02,2.0,5.19,2.83,0.0,0.0,19,0,lightglue
031311102212,Palisades,naip,sift,1024,2.594,19.2,2024-12-21,2025-01-13,0.49,7811,8002,201,83,0.413,True,1.328,3.45,3.86,10.0,5.41,-3.6,1.4,41,0,lightglue
031311102212,Palisades,naip,lightglue,1024,2.594,19.2,2024-12-21,2025-01-13,7.42,4096,4096,2083,840,0.403,True,1.661,4.31,4.47,11.6,6.32,-4.0,2.0,18,0,lightglue
031311103033,Eaton,naip,sift,1024,2.594,16.3,2025-01-01,2025-01-10,0.51,8000,8000,121,60,0.496,True,1.265,3.28,1.72,4.46,2.86,1.45,-0.46,30,0,lightglue
031311103033,Eaton,naip,lightglue,1024,2.594,16.3,2025-01-01,2025-01-10,7.35,4096,4096,2005,949,0.473,True,1.501,3.89,2.0,5.19,2.83,0.0,0.0,11,0,lightglue
031311103122,Eaton,naip,sift,1024,2.594,5.100000000000001,2024-12-26,2025-01-14,0.53,8000,8000,131,49,0.374,True,1.4,3.63,1.59,4.12,2.96,0.77,1.02,41,0,lightglue
031311103122,Eaton,naip,lightglue,1024,2.594,5.100000000000001,2024-12-26,2025-01-14,6.81,4096,4096,2014,808,0.401,True,1.53,3.97,2.83,7.34,4.47,0.0,2.0,25,0,lightglue
031311103033,Eaton,maxar,sift,2048,2.594,16.3,2025-01-01,2025-01-10,1.61,8001,8000,1726,1681,0.974,True,0.495,1.28,1.65,4.28,2.16,-0.29,-1.6,8,0,lightglue
031311103033,Eaton,maxar,lightglue,2048,2.594,16.3,2025-01-01,2025-01-10,14.56,4096,4096,1754,1737,0.99,True,0.773,2.0,2.0,5.19,2.24,0.0,-2.0,15,0,lightglue
031311103033,Eaton,naip,sift,2048,2.594,16.3,2025-01-01,2025-01-10,1.61,8000,8000,107,28,0.262,True,0.875,2.27,1.95,5.05,2.85,1.73,-0.88,47,0,lightglue
031311103033,Eaton,naip,lightglue,2048,2.594,16.3,2025-01-01,2025-01-10,17.78,4096,4096,1281,655,0.511,True,1.455,3.78,1.41,3.67,2.24,1.0,0.0,19,0,lightglue
